season,week,player_id,player_name,team,position,fantasy_points,projected_points
2024,1,8439,Aaron Rodgers,NYJ,QB,8.58,16.17
2024,2,8439,Aaron Rodgers,NYJ,QB,15.14,16.65
2024,3,8439,Aaron Rodgers,NYJ,QB,21.04,15.52
2024,4,8439,Aaron Rodgers,NYJ,QB,11.6,15.45
2024,5,8439,Aaron Rodgers,NYJ,QB,11.76,14.14
2024,6,8439,Aaron Rodgers,NYJ,QB,17.76,14.94
2024,7,8439,Aaron Rodgers,NYJ,QB,13.04,16.11
2024,8,8439,Aaron Rodgers,NYJ,QB,17.32,17.22
2024,9,8439,Aaron Rodgers,NYJ,QB,20.34,13.09
2024,10,8439,Aaron Rodgers,NYJ,QB,4.04,16.5
2024,11,8439,Aaron Rodgers,NYJ,QB,16.06,15.63
2024,12,8439,Aaron Rodgers,NYJ,QB,0.0,0.0
2024,13,8439,Aaron Rodgers,NYJ,QB,14.0,15.03
2024,14,8439,Aaron Rodgers,NYJ,QB,17.56,13.88
2024,15,8439,Aaron Rodgers,NYJ,QB,30.06,16.82
2024,16,8439,Aaron Rodgers,NYJ,QB,12.84,16.9
2024,17,8439,Aaron Rodgers,NYJ,QB,0.48,17.53
2024,1,14880,Kirk Cousins,ATL,QB,6.2,15.51
2024,2,14880,Kirk Cousins,ATL,QB,17.54,16.84
2024,3,14880,Kirk Cousins,ATL,QB,11.1,16.1
2024,4,14880,Kirk Cousins,ATL,QB,7.52,14.22
2024,5,14880,Kirk Cousins,ATL,QB,34.36,15.53
2024,6,14880,Kirk Cousins,ATL,QB,12.5,20.17
2024,7,14880,Kirk Cousins,ATL,QB,7.18,19.29
2024,8,14880,Kirk Cousins,ATL,QB,28.64,16.63
2024,9,14880,Kirk Cousins,ATL,QB,17.78,19.32
2024,10,14880,Kirk Cousins,ATL,QB,10.24,17.49
2024,11,14880,Kirk Cousins,ATL,QB,4.92,14.62
2024,12,14880,Kirk Cousins,ATL,QB,0.0,0.0
2024,13,14880,Kirk Cousins,ATL,QB,2.1,14.9
2024,14,14880,Kirk Cousins,ATL,QB,9.76,12.52
2024,15,14880,Kirk Cousins,ATL,QB,6.48,13.24
2024,16,14880,Kirk Cousins,ATL,QB,0.0,0.0
2024,17,14880,Kirk Cousins,ATL,QB,0.0,0.0
2024,10,14881,Russell Wilson,PIT,QB,18.1,17.85
2024,11,14881,Russell Wilson,PIT,QB,6.3,17.39
2024,12,14881,Russell Wilson,PIT,QB,13.8,14.58
2024,13,14881,Russell Wilson,PIT,QB,26.86,14.66
2024,14,14881,Russell Wilson,PIT,QB,16.02,16.28
2024,15,14881,Russell Wilson,PIT,QB,8.42,12.55
2024,16,14881,Russell Wilson,PIT,QB,15.38,14.88
2024,17,14881,Russell Wilson,PIT,QB,17.7,15.17
2024,1,15795,DeAndre Hopkins,KC,WR,1.8,11.95
2024,2,15795,DeAndre Hopkins,KC,WR,1.9,10.44
2024,3,15795,DeAndre Hopkins,KC,WR,19.3,7.61
2024,4,15795,DeAndre Hopkins,KC,WR,5.1,8.43
2024,5,15795,DeAndre Hopkins,KC,WR,0.0,0.0
2024,6,15795,DeAndre Hopkins,KC,WR,9.4,10.51
